AverageReturn,MeanKLBefore,EnvExecTime,StdReturn,AverageDiscountedReturn,ExplainedVariance,MaxReturn,AveragePolicyStd,Iteration,LossBefore,Perplexity,NumTrajs,Time,MinReturn,dLoss,ItrTime,LossAfter,PolicyExecTime,ProcessExecTime,Entropy,MeanKL
12.6,0.0,0.0974278450012207,10.287856919689348,10.804228930334835,1.0550016416033259e-10,21.0,1.0,0,-1.907348590179936e-08,20590.2,5,112.10648274421692,0.0,0.07461024403572125,112.10648703575134,-0.07461026310920715,0.020745515823364258,0.0008535385131835938,9.93257,0.00842389464378357
12.6,0.0,0.10413455963134766,10.287856919689348,10.948766170015901,-6.399843470667227,21.0,1.0000079,1,3.33786012163273e-08,20591.299,5,237.10492706298828,0.0,0.10516493380069747,124.99395751953125,-0.10516490042209625,0.013214349746704102,0.0009541511535644531,9.932624,0.008367135189473629
